SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.9,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6.5,3.2,5.1,2.0,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.7,2.5,5.0,2.0,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
6.5,3.0,5.2,2.0,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
5.523117523509826,2.9914620897007476,4.469634751208167,1.2649216938124188,Iris-versicolor
5.178353583829408,3.5583364200671377,1.592509663819536,-0.05390018991436729,Iris-setosa
5.797568528170676,3.701264436520915,1.3202604668452678,0.394051399614464,Iris-setosa
5.9026711558672735,2.6181212427192597,4.467998479136667,1.0048165643718479,Iris-versicolor
6.326826907289959,2.434985912877786,5.503181388825917,1.9266855837399441,Iris-virginica
4.60058833791823,3.146221419938417,1.440850326420203,0.24843000535688045,Iris-setosa
5.5214043098236925,2.666930171203257,3.860386568041315,1.0695445049628287,Iris-versicolor
7.578055873646333,3.188694215645905,6.206135932390983,2.4447153790667415,Iris-virginica
,2.8073031693565604,6.31494581636674,2.1010705827161296,Iris-virginica
5.932273188418889,3.055275687949674,4.483140346792121,1.1751614604757408,Iris-versicolor
6.724054937968938,3.000583299239527,5.074610600655508,2.080972006712556,Iris-virginica
6.1555341995299475,3.1339768352899173,5.50995625295234,2.2425814123377794,Iris-virginica
6.752459359423261,3.031307443826959,5.27814288225871,2.0457925690244183,Iris-virginica
6.424734556947003,3.287085013927894,4.875621592168633,2.174826706466479,Iris-virginica
5.222284953853599,3.4572144922966865,1.2546446173276753,0.4082264216112049,Iris-setosa
6.826348776298775,3.20942421362634,5.497298561537617,2.1710774626877143,Iris-virginica
4.432106686770529,3.446864234815229,1.260735172446487,0.09846971614576336,Iris-setosa
5.9678095710634045,2.7238985120174632,5.277496600601325,1.929090721896147,Iris-virginica
6.763618945758608,2.787521346495652,5.599384353821325,1.7812798384584476,Iris-virginica
5.497690297778137,2.243538782254145,5.091416796826801,1.765487562846784,Iris-virginica
6.18749249295842,2.6994787911693083,4.747086606032555,1.3071348729956485,Iris-versicolor
7.7454504246758376,3.172701934510608,6.329207412705319,2.4737763685294842,Iris-virginica
5.199819730218465,2.8364555020890942,4.186546150549683,1.6237547872458034,Iris-versicolor
5.518180700206323,2.4190976439817344,3.872634225366886,1.2974112974063543,Iris-versicolor
4.409384596921324,3.494024633968045,1.0828601843605288,0.327845942786875,Iris-setosa
7.473139510383456,2.701381260355534,6.310834387523405,2.408200945751293,Iris-virginica
4.655588943099002,2.795179116960404,1.6074732543305612,0.40311602494419524,Iris-setosa
6.799593047212286,3.2739566361077426,5.577422467624786,2.1702763181468563,Iris-virginica
6.481317483484294,2.7833457012268865,5.490576062884535,2.2721621735554978,Iris-virginica
6.276866476402765,2.8112712100180275,4.143872475419723,1.230606816510023,Iris-versicolor
4.976532661481928,3.255331018782882,1.1218313730471927,0.2181896963276075,Iris-setosa
5.200117694376084,3.1226702553701915,1.6437070655914345,0.6185780092142141,Iris-setosa
5.264346984161287,3.338091140944019,1.2232103796238574,0.112847304222746,Iris-setosa
5.37720156406154,2.67051818468573,3.03409740469434,1.13060984389254,Iris-versicolor
6.456616221859686,2.7709114223346045,5.184883370078182,1.989706016423741,Iris-virginica
5.167340624302402,3.201138672957762,1.454840590070511,0.17500116693221301,Iris-setosa
6.624491110277069,3.288858411251229,5.759749228225185,2.5721953707007663,Iris-virginica
6.520059663469902,3.079259120538249,4.439062912717533,1.3879084572401879,Iris-versicolor
6.951251959825406,3.2699394284085828,5.4533079994024325,2.3157464418127978,Iris-virginica
6.173201027668203,3.2488463809892534,4.6892794281450465,1.6828301654668234,Iris-virginica
4.976066686475702,1.9295437797698456,3.484289070260921,1.0444931930316508,Iris-versicolor
5.65091318874188,3.567757066552919,1.5676294885711834,0.2192904901266359,Iris-setosa
5.9433667866254725,2.8408488233283267,4.030711068212491,1.402745329447788,Iris-versicolor
6.62063470137037,3.063797420785448,5.07690888999623,1.7986067961995154,Iris-virginica
6.445462147402634,2.9558871134060003,4.565190650437672,1.81879219767506,Iris-virginica
7.44853631892908,3.420084801735171,5.81578308915405,1.7657940613831218,Iris-virginica
4.433888495936326,3.1064514798724265,1.5565054363691848,0.24757343699089623,Iris-setosa
6.6989713799566495,2.816541748846078,4.3093286188628115,1.5430159526234328,Iris-versicolor
4.876969495173862,3.0100341281930776,1.35022131559277,0.39682379250812333,Iris-setosa
5.096988207210254,2.355682562851335,3.424693243493162,1.2519380260813349,Iris-versicolor
5.392574662255888,3.3377277769749414,1.3411389394410955,0.23966816971172222,Iris-setosa
5.822148825199705,2.8788647788176105,5.1350070071404605,1.820559849372932,Iris-virginica
5.456365927426707,2.667758285478392,5.0396575818413405,2.039504421614462,Iris-virginica
4.897542808744406,3.7233928550073516,1.4570786076359268,0.4823469956636508,Iris-setosa
5.180015923232883,2.6335341165783244,2.8975778959751284,1.0792774925397857,Iris-versicolor
6.113492171965238,2.9982911154728313,3.9542175831861828,1.510074421996722,Iris-versicolor
5.538975300376393,3.8214862844725537,1.538797648218965,0.6601331748779686,Iris-setosa
4.973447077767255,3.8725170774301634,1.2599148633749784,0.21407515936822685,Iris-setosa
6.146187966077054,1.9112373072306281,5.17742469748075,1.3376074656791948,Iris-virginica
6.0770430822384,3.1896092601139254,4.8107846500368865,1.6835255976383388,Iris-virginica
7.547851883462289,2.7601608684473957,6.754410986448416,2.3876816483659904,Iris-virginica
5.94303948464767,2.2086768582120864,4.923280816565747,1.5871522396105395,Iris-virginica
4.2244856818045715,3.28292453180049,1.5302173112581725,0.18999020594751653,Iris-setosa
6.0309024433930505,3.6470957070391297,4.664296382535371,1.5538779482636742,Iris-versicolor
5.834709807765077,2.7623908292595436,4.858305867478022,2.1013943335600453,Iris-virginica
6.369631365032893,2.7586116460439527,5.557185686460475,2.3719381034591676,Iris-virginica
5.6990424827676165,2.5103286045965225,3.4393307063520626,0.7525812188103556,Iris-versicolor
6.568154698388189,2.841676152839508,5.1416226152687345,1.417401162520034,Iris-versicolor
6.802505101759364,3.158708956082399,4.812217157958581,2.0979077863034306,Iris-virginica
4.5221039400654774,3.4680760702900453,1.9470621377463058,0.0837527757842094,Iris-setosa
5.997359669787689,2.770841200783952,4.186568177760705,0.7369439932800899,Iris-versicolor
6.510350157536061,2.9104779528258367,5.799024771263316,2.376346721204819,Iris-virginica
7.993553725796924,4.031522295031781,6.18482261344919,2.2401959631731523,Iris-virginica
4.562032653284745,3.166420805991499,1.6018758926956727,0.3164336803817234,Iris-setosa
5.948299089090495,3.078648464350717,4.558377880105729,2.053543494096517,Iris-virginica
4.461018669697234,3.189313635344448,1.3176109693382805,0.24670997009939238,Iris-setosa
5.186685881099655,3.336363755436443,1.3306663252658486,0.12898360590416258,Iris-setosa
5.9946227225513615,2.833708511192852,5.05141011900874,1.805821009831154,Iris-virginica
6.746622768441847,3.052908412237781,5.415175532320202,2.0898161374440924,Iris-virginica
5.785112901100203,2.9323372752555525,4.8668975952755895,1.9369354735532265,Iris-virginica
5.816226270430857,2.7206553915690908,5.054690770452512,1.5523990737084175,Iris-virginica
5.644737024957969,3.5911222142778865,1.471509392942698,-0.020981676903288782,Iris-setosa
7.80546669705035,3.512976843209263,6.582905488654553,1.9313450870917919,Iris-virginica
4.86233314217059,3.3130052664754497,1.5032908166378856,-0.011444197431851877,Iris-setosa
6.49512186455387,2.956288764338201,5.368396358315126,1.7841296271182112,Iris-virginica
4.803449476352424,4.061006004144725,1.7915037144232464,0.4673153394903786,Iris-setosa
5.5367512068147695,2.888708741172276,3.917733432386182,1.0028220177717166,Iris-versicolor
4.211887642937727,3.157755865784931,1.3157112024546294,-0.06832086647312463,Iris-setosa
6.684421193706094,3.246320688353407,5.09292401508086,2.297490653744668,Iris-virginica
5.183537249838768,3.760984606483185,1.6881280623614532,0.4490732312405231,Iris-setosa
4.270329296751618,3.06926441738531,1.3446633976472495,-0.12221674174101854,Iris-setosa
6.589732565015738,3.161786201572707,4.187450265333183,1.5021751169594277,Iris-versicolor
5.169266014662494,4.02758622776814,1.107259957063714,0.29534538401612875,Iris-setosa
5.103408445379694,3.2773543825948126,1.7503273597554472,0.21351376169722736,Iris-setosa
4.930557998397547,3.137794536034711,1.5587533815459893,0.19511740863908114,Iris-setosa
6.528028185169036,3.098439599012899,5.421055845393906,1.9283505196145305,Iris-virginica
5.52362579531988,2.501363441827702,3.4368042362945004,1.2452266270040742,Iris-versicolor
5.948689622926136,2.5958533108371986,4.3755866148889995,1.1576749885693602,Iris-versicolor
5.16864270941569,3.0048623969672503,1.3261678750960788,0.2660534942762084,Iris-setosa
4.514095126828012,2.9131955487408434,1.6000604015598632,0.4663583789141986,Iris-setosa
4.314462644915414,3.1542522682107106,1.491510573256431,0.3450140376083069,Iris-setosa
4.563178488986465,2.9343710797480247,1.6263536256497773,0.40396242377998526,Iris-setosa
6.623501107890266,3.24387938589554,5.330908551480495,2.0387535521027256,Iris-virginica
5.792163397172801,2.408322384950569,4.802048318451969,1.6376974288658204,Iris-virginica
5.022508719500248,2.898059361185438,3.6187677127323665,1.6158783106127173,Iris-versicolor
7.2065364407597965,2.844124440350188,5.84793741282139,2.187083843872483,Iris-virginica
6.902928654233838,3.272181753889302,4.460806184532795,1.141045878566649,Iris-versicolor
5.168756136728237,4.045355408243813,1.5875528270203891,0.41984975587981066,Iris-setosa
6.347287581795097,2.626466444620852,4.434347394183263,1.5050551112151496,Iris-versicolor
4.765632485602646,3.2289877111148164,1.143939119040001,0.38051517100058174,Iris-setosa
7.358033874122248,2.7163585979783194,5.706832989888588,1.8389417760786957,Iris-virginica
5.296303101385748,3.553377073128715,1.1565945592218148,0.42651110779472934,Iris-setosa
5.554831823621487,3.863049309601488,1.3520212490092574,0.2888827454338137,Iris-setosa
7.194068037695812,2.7666669283121474,6.058496956689648,1.7888093366508007,Iris-virginica
5.230775890719586,3.598719293532544,1.1221223010909662,0.24176308483564735,Iris-setosa
5.2262728460084045,3.9230567872899984,1.8655131702469372,0.699457365824216,Iris-setosa
6.564694679983874,2.46640679748491,4.887693672031537,1.6075419425758566,Iris-versicolor
5.0056072132765745,2.280647018951433,4.274598440148916,1.6679732620200614,Iris-virginica
5.085790891174279,3.4529955487419777,1.1988551035990205,0.13835688330364487,Iris-setosa
5.67960480229547,3.8066789421940412,1.4315352704155286,-0.05529424939934696,Iris-setosa
5.2693833495511635,4.248887562277916,1.1869389403318344,0.41813328604659716,Iris-setosa
4.9204080998789115,3.3646187668045973,1.6341103263920949,0.37355499289443606,Iris-setosa
7.550354096284836,2.796904782476928,6.512042562575392,1.5646060981217942,Iris-virginica
7.134695651591156,2.8996031280366905,5.006267202868397,2.500954389530997,Iris-virginica
5.52114355068241,2.824791407676705,4.43990014837171,1.0817370359721319,Iris-versicolor
6.640001155168866,2.9862406928194933,5.654781300471992,1.9138607326847898,Iris-virginica
6.665958406282997,2.6711061023512843,5.716056315995486,2.256802056681143,Iris-virginica
4.87481970183086,2.18417957808725,3.3270705631889066,1.105794761092096,Iris-versicolor
5.07855975289188,2.7086496039964785,3.1960157988672337,1.2659456521009138,Iris-versicolor
6.764449106908388,2.796030336788678,4.626492105033943,1.3353167661092642,Iris-versicolor
5.6292680312784,2.5382406205527355,4.24784424905803,0.8853337613230536,Iris-versicolor
5.885269252428301,3.209498369405545,4.685422309358478,1.3684948640800678,Iris-versicolor
6.560291727178282,2.561014744730868,5.039063474123854,1.3624597233366893,Iris-virginica
4.70436473596717,3.490703901389465,1.2198860943234058,0.18312358489898928,Iris-setosa
7.554040244853418,3.2527092841806255,6.102610895587489,2.4822795172301992,Iris-virginica
7.849039338008947,3.005989656822562,6.524145850402547,2.1465039239990262,Iris-virginica
4.580365236054102,2.9111897619421625,1.6370185969465747,-0.05170878199935158,Iris-setosa
5.768264353965774,3.0969390152614156,4.269257492200827,1.5098317975379316,Iris-versicolor
5.656334533678491,3.7549968515975727,1.1593917677135992,-0.011824625480242795,Iris-setosa
7.138448148192471,3.390791042830766,5.809027559684826,2.519024709652331,Iris-virginica
5.299520001695417,3.980062861406486,1.6072182152358983,-0.1325131224819525,Iris-setosa
6.4426101895739025,2.9451204679686684,4.979583326516171,1.8794661058304092,Iris-versicolor
5.675178230402941,3.0196239868000907,3.920101461861392,1.2884781034086321,Iris-versicolor
6.41102466134714,3.07041464518334,5.565785357376504,1.6781807425056277,Iris-virginica
7.182818055666515,3.3555557412588497,5.822042923459474,1.9471813536065912,Iris-virginica
5.542656304868725,2.0575440891651926,3.802433668815966,1.2901466297804247,Iris-versicolor
4.563877659127076,3.2911517561447616,1.6722992953381635,0.07475111723604577,Iris-setosa
5.774514092025589,2.28051500711717,4.945233442348954,1.4584972709890076,Iris-virginica
6.797365315974313,3.398242134112335,5.6170575284344055,2.2150670291144614,Iris-virginica
6.243410466757516,3.604431108515041,5.616449667755376,2.3475190633993988,Iris-virginica
5.666092218795816,3.754952311640907,1.2000038945280995,0.3990008453598249,Iris-setosa
5.963400691452678,3.132457633732644,4.076008478124148,1.0626693469046316,Iris-versicolor
5.6998575681304,2.817330837953877,3.9456391920780964,0.9977002382758293,Iris-versicolor
7.1441408732669585,3.1114380067973015,6.073004455246541,1.9459881160969736,Iris-virginica
5.618282411687767,3.4370866751036186,4.647703931908229,1.6481907588420395,Iris-versicolor
5.725480848756927,2.986649369306285,4.3536097468036665,0.7137725623385156,Iris-versicolor
4.993904224451976,3.846452637485626,1.274269839192314,0.14700735483249563,Iris-setosa
5.390232139119682,2.54566183677797,4.892467676145183,1.9038725158953762,Iris-virginica
5.375595693875233,3.024646030595121,1.57297203307308,0.7605071793270439,Iris-setosa
6.9322893689093785,3.248612783353138,5.607641368968203,2.4307476602810416,Iris-virginica
7.4180107757308305,2.679422254959066,6.499851648853922,2.1721881430842034,Iris-virginica
6.155984387615588,3.248166719402167,5.8587586688035636,2.2784003466600327,Iris-virginica
5.581046583691737,4.06415741240272,1.421348255287764,0.4061155018732592,Iris-setosa
5.824286168825511,4.158479711932866,1.324435932374999,0.33394474264767743,Iris-setosa
4.971108467554294,2.275714530159864,3.6592328610166303,1.0766148853598678,Iris-versicolor
5.603219563765072,2.872940489789209,4.234204586777597,1.458380362910122,Iris-versicolor
5.1571384035001895,3.531909137842213,1.799735243571064,0.15530806682132672,Iris-setosa
5.133226637710496,3.249430631959602,1.5846979025319219,0.08340781055413593,Iris-setosa
6.162147054996768,2.914050629831863,5.345684637887308,1.7915136741101725,Iris-versicolor
4.972851045054199,3.1809087674322902,1.3581381609212215,0.32435871072878325,Iris-setosa
4.60179439318511,3.095104363263455,1.7354032876460277,0.3256774810312045,Iris-setosa
6.540898115147561,2.980264118227826,5.51744943740998,1.9458671310645674,Iris-virginica
5.718753555359505,2.6635916784634435,4.3500460765220375,1.3842097099955943,Iris-versicolor
6.97920819633525,3.085469595552906,5.403605362312003,2.3844829733465693,Iris-virginica
4.732376393332749,2.984139475668142,1.437454759838383,0.14517044137363602,Iris-setosa
4.842311487980592,3.5565326434102817,1.870121908710842,0.13506113706068432,Iris-setosa
5.836659454521067,2.668397454305888,5.056493178610978,2.0497380954452695,Iris-virginica
5.355466482606068,3.507798479907417,1.3366427601583133,0.4365944668411469,Iris-setosa
5.425968562332673,3.294898514071597,4.185664885618548,1.3547116601052842,Iris-versicolor
6.590333036898075,2.7934866694462976,5.648138234800369,1.946462495706658,Iris-virginica
6.143941516174202,2.610029082469566,5.331969598127793,1.7080114354488511,Iris-virginica
6.2579365258487085,3.0860125583397124,4.403067015578555,1.7612223769588866,Iris-versicolor
7.857952912546532,3.9575269909711928,6.1063922814388105,2.2572133565529926,Iris-virginica
5.744603528163055,2.744277056176957,4.258249760632064,1.1567454460639859,Iris-versicolor
6.435274186176745,2.5319225996147976,4.610189745791918,1.9139006191934194,Iris-virginica
4.841360914263968,3.051142211979888,1.410703950932647,0.3744740096011676,Iris-setosa
4.909099604418041,2.804360667305974,4.169764493561116,1.2364646851542636,Iris-versicolor
7.138547243404752,3.071018854645937,5.804772691050492,2.557694137841338,Iris-virginica
6.652025649524671,2.8326985433404817,5.287258234348908,2.313959544270726,Iris-virginica
6.41398884169448,3.397728809020876,5.882647954950587,2.5858897471958593,Iris-virginica
5.569242250663655,2.5128989720703365,4.830341311661505,2.159431872092262,Iris-virginica
6.828514186424882,3.126642995126571,5.50968709731875,2.783508812129579,Iris-virginica
6.549669499565465,3.1698019521917544,5.678432384143067,2.4676170801739707,Iris-virginica
5.012909411728165,2.0986921917753563,3.3407181787574274,1.0989933259653024,Iris-versicolor
4.816658755180037,3.5372139864818273,1.325541311172031,0.13999919509115472,Iris-setosa
6.273496164389661,3.1556141246904454,4.458404610988466,1.418014589216385,Iris-versicolor
6.037179811312527,2.772607832440062,4.753886315154377,2.0018543104722073,Iris-virginica
6.338348976334657,2.9083310466154586,5.111976453976801,1.7515984580585076,Iris-virginica
7.184420191585714,2.587724794012989,6.398622048136882,2.028940099822432,Iris-virginica
5.4708211800736635,2.930365407017763,3.933940721276577,1.3553258592658068,Iris-versicolor
6.333547050396999,2.869495966344084,5.202782171111569,1.6997286645705036,Iris-virginica
4.679552972080715,2.9696616430214218,1.680704107105718,0.31173595114780966,Iris-setosa
6.219822504058261,3.1247092001941477,5.140985801882035,1.8210352574840862,Iris-virginica
5.6538326689575875,2.947468215099531,4.784973492039387,2.1585641704301652,Iris-virginica
6.304758935286175,2.3025837751724043,4.926623546800568,1.815933424593785,Iris-virginica
6.065744521103351,3.0253883760563554,5.543761582607306,1.6275397737511512,Iris-virginica
4.86046666669612,3.412812746135832,1.263808533914737,0.4813487223011787,Iris-setosa
6.558820789647712,2.7820541871477396,5.004480253716451,2.049906070015933,Iris-virginica
4.401260818705214,2.5643204021272306,1.4722733892069888,0.4974493462252377,Iris-setosa
6.33760928661738,3.1638145125883756,6.210269913441641,2.45945342921768,Iris-virginica
4.76431253759261,2.290490426142906,1.3084936001613936,0.42394082964820096,Iris-setosa
6.649200245659902,2.8718134004275893,5.196125511903074,2.08794308545305,Iris-virginica
4.855856217375645,3.4761359077114986,1.5434215516806162,0.05964223105116617,Iris-setosa
5.858070887997246,3.0955479395596126,4.970570207053401,1.5079543193724534,Iris-virginica
4.950742745710307,3.446233275987077,1.3448647803042058,0.06832638783406311,Iris-setosa
7.091894832550803,2.8393154406219887,4.639647447398081,1.478124768197664,Iris-versicolor
6.96074448632388,3.3609687005162883,4.325251247772195,1.154410168607429,Iris-versicolor
5.524160657591942,2.5254013952495944,5.199574923558333,2.539348820064323,Iris-virginica
6.256501397010172,2.8464826027871784,4.571545974578332,1.2907411004282796,Iris-versicolor
5.2282593699882645,3.3804278103884755,1.624872205083807,0.18608819697541745,Iris-setosa
7.446241554488509,2.7286294179335466,6.459580858913803,1.9207171888354322,Iris-virginica
7.136506360416855,2.97685003109188,4.923322829863661,2.3152983983811937,Iris-virginica
5.607894849856097,3.7291512952626364,1.4557633138271624,0.3429341293763104,Iris-setosa
5.110790475919294,3.1283470346349693,1.6581337301183534,0.5826021209164983,Iris-setosa
6.868527610658063,2.821096131168908,4.914874004960807,1.6852747688430085,Iris-versicolor
6.402920204370069,2.658106658025746,4.392285512940187,1.3100765759046826,Iris-versicolor
6.196919327312976,3.603541158930654,5.444176856437812,2.305709842689587,Iris-virginica
6.446170862208749,2.4554930469884773,4.819910101224327,1.7144018138743875,Iris-versicolor
5.78224043357318,2.241669269835835,3.9943844139128677,1.2244236570480602,Iris-versicolor
6.6128351171952975,3.2348374213365765,5.11845317556589,1.8070507653260093,Iris-versicolor
5.7939532256978215,4.21678198976087,1.391890016205206,-0.059270490349683125,Iris-setosa
4.546458718425691,3.4601980928873632,1.0360168260244444,-0.0510642932375755,Iris-setosa
7.473909157069478,3.370319141568795,6.042839588634035,1.902019654910895,Iris-virginica
5.14968345827186,3.3894555159830784,1.415348471943025,0.35546998508389777,Iris-setosa
5.952046017917246,2.6583914875079184,4.072825918138154,1.4215081474940872,Iris-versicolor
6.9786122138806155,3.474056948745595,6.291354675006008,2.608185877046152,Iris-virginica
7.901145675373714,2.6878413042691753,6.5434741952192805,1.727942027137564,Iris-virginica
6.792360230481874,2.913469587083844,4.702042836381692,1.6680066640796136,Iris-versicolor
5.907024238545543,2.475680168354239,5.239622743858558,1.6493935090895726,Iris-versicolor
6.601150127490854,3.0933686243286496,5.729325777692931,2.34037077097232,Iris-virginica
6.6540588336748066,3.007882358992912,5.206972007639261,2.0258206907431275,Iris-virginica
6.03900263881473,2.8249164947747554,5.732079154584667,1.5278301913494754,Iris-virginica
6.444520761850583,3.421851157661855,4.560653406418034,1.2307704408093887,Iris-versicolor
4.977310856092643,2.927051242188115,1.2735932024293457,0.26737798950407976,Iris-setosa
