SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
6.1,2.8,4.0,1.3,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6.5,3.2,5.1,2.0,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.7,2.5,5.0,2.0,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
6.5,3.0,5.2,2.0,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
5.644825470302522,2.8473782062350352,3.924867404044003,1.107601901693735,Iris-versicolor
5.656805033628162,3.260209459983528,4.605066286095038,1.6566184863762878,Iris-versicolor
7.419774936789147,3.2306765251183274,6.049723322277005,1.49026663455761,Iris-virginica
6.269046893703477,2.6116659692419733,4.833103382366999,1.7071946711120456,Iris-virginica
4.996725327701295,3.6263581271640346,1.7234298506675627,0.4574519892052107,Iris-setosa
6.604974674203142,3.2030818192095936,5.381258674385143,2.202158716252603,Iris-virginica
5.755598975459428,2.414957008211009,3.8220436918865897,1.1547083968585539,Iris-versicolor
4.471051651028768,3.4569751143579226,1.0578682213644637,0.18391819583355695,Iris-setosa
5.182929444957675,3.276034481285463,1.3276092481149502,-0.019204595639602723,Iris-setosa
5.687886641816248,2.608091789338808,3.6456277969810476,0.784854041751762,Iris-versicolor
5.629838369339908,4.082658107378014,1.280923000812351,0.25395446895202684,Iris-setosa
4.988392519093842,2.5567145837863183,3.196281786494103,0.8060843971998841,Iris-versicolor
4.617150521352735,3.045885810143976,1.375549725420511,0.267834934408424,Iris-setosa
5.453516500342367,2.653260702016349,3.5844672318954136,0.8398980574070829,Iris-versicolor
4.912444415128098,2.7926260343250844,1.4100900502579445,0.4936365513034082,Iris-setosa
7.660451967661975,2.77800594456395,6.808060250811389,1.9354117515786577,Iris-virginica
7.575512259387277,3.2867238771209015,6.30736823447457,2.022344058130558,Iris-virginica
5.662921896422939,2.728693997889548,4.8417120849876,2.691236363728262,Iris-virginica
5.602824728051289,4.369886883120094,1.3466813654354863,-0.05863976917462427,Iris-setosa
6.679183805755782,2.7515089338919068,4.348954672524021,1.361152755032709,Iris-versicolor
4.44201870479786,3.3796215532680653,1.5880675779594913,0.06520781593134714,Iris-setosa
7.172794659149166,3.120544584045023,5.521140118389729,2.0538481822684655,Iris-virginica
7.960712325132115,2.9928672988773344,6.8028306376358465,2.234274500172723,Iris-virginica
7.0235300283760305,3.778305664778031,5.815622446220774,2.2867890253555365,Iris-virginica
5.118623245080124,,3.2899645896204075,0.9231365432255825,Iris-versicolor
4.963972860395243,3.081587127860669,1.5328453466069474,0.7153235788840542,Iris-setosa
6.118486744463327,3.435312615151173,4.3005530536251255,1.6056036028612222,Iris-versicolor
6.983826610498711,2.9021364725681362,5.825589406760065,1.5071120315504376,Iris-virginica
5.166493083519744,3.665091685530776,1.5230909018973695,0.26564501398060014,Iris-setosa
6.096527975372322,3.0395615589815623,5.20951510184764,1.5658010324970562,Iris-virginica
7.66959266140174,2.9506352260547986,6.001547355507174,1.6245728584450856,Iris-virginica
5.325781565654639,2.728374338403324,4.617366724678711,1.6356933719584121,Iris-versicolor
6.35732841347655,2.9975062685387064,4.973367321751127,2.111827339203492,Iris-virginica
5.314844777740892,3.8534079184388066,1.0998159048893699,0.5751737764342624,Iris-setosa
6.5940333236779765,2.2517770435016797,4.364056924273371,1.017376307553689,Iris-versicolor
7.764283911330832,2.9500506614227646,6.575567740987212,1.7718636168300794,Iris-virginica
7.0491542080199405,3.3226600257465924,4.979038247136806,2.5265786397443764,Iris-virginica
5.463670795663923,2.700152830590898,3.9699170386685543,1.0906852969504255,Iris-versicolor
5.412907065823943,2.7013866892533183,3.577954424340259,1.4752029384342913,Iris-versicolor
5.63053993438088,2.6566495249506454,4.925838002917416,2.438162033643549,Iris-virginica
,2.1827509727760077,3.952302647049734,1.1654146470019224,Iris-versicolor
6.61350154077106,3.502858811262211,5.984560903591375,2.646296199093855,Iris-virginica
5.900429714415339,2.990283717874955,3.952014807360834,1.796696035161151,Iris-versicolor
5.554788312417815,2.635359069622998,3.663498100262513,0.7328257433026637,Iris-versicolor
5.083473506543565,2.2632798302316517,3.5070693721448087,1.0957959374739976,Iris-versicolor
4.731317825445298,3.493586711110679,1.58783160296142,0.47798409367708194,Iris-setosa
4.995967837874046,3.6763256356468004,1.6579353769975105,0.08429485018789123,Iris-setosa
4.58384235576659,3.11057983068911,1.2936839557052195,-0.06032840727130351,Iris-setosa
6.340621721362782,3.080971751967889,5.6965589654938285,1.9314859488833753,Iris-virginica
6.77048840849981,3.1284177457160975,5.6976690180405924,2.2635502434708004,Iris-virginica
5.592081690219863,3.9795305404283075,1.41271160725959,-0.04063595995286515,Iris-setosa
6.381508895913359,3.5625342505186253,4.9187815449517185,1.5790806333578975,Iris-versicolor
4.931929797091028,3.5711421446251728,1.5172312649474253,0.02359483077436958,Iris-setosa
4.947594178775908,3.202799887567876,1.2122350473461927,0.06856302219527335,Iris-setosa
4.24650710918897,3.1814057779661,1.0397978326759139,0.2662529133567099,Iris-setosa
7.275656537388545,2.8663011782072876,6.005066924277724,1.82201268725091,Iris-virginica
5.457038040545189,2.7962544221096386,3.200571983989642,1.040495053453057,Iris-versicolor
5.881246633290435,2.4290907557836365,4.9424889285530105,1.7684147018407586,Iris-versicolor
6.185560908796631,2.6867895641143122,4.538061800815737,1.0180933459554364,Iris-versicolor
4.955754794002989,3.4754176509427266,1.5163757436048104,0.34315806830653295,Iris-setosa
5.631394512202204,4.447554345747066,1.2778380567666017,0.3461676898676548,Iris-setosa
5.932765214784501,3.2660489635235224,4.24070841744389,1.7618233078185277,Iris-versicolor
5.8732939193370814,3.4026030906687894,4.9385186238621595,1.6935240520103496,Iris-versicolor
6.388501471768242,3.030029910288062,4.732260431646841,1.3935627451308266,Iris-versicolor
6.859340459868696,2.9460556750564564,5.360410439657881,1.8357174486055399,Iris-virginica
6.088090643454797,2.9416427875094295,4.465578267139045,1.559244669506059,Iris-versicolor
6.335847258410355,2.5677723074623002,5.226133865078398,1.4069127677616333,Iris-virginica
4.833966247540803,3.717521994548727,1.2185840652127116,0.44235632581358353,Iris-setosa
5.083426181785126,2.7031632435351685,1.616795380825119,0.13886696761581854,Iris-setosa
5.896681900044944,3.217434758154753,4.243272957146332,1.3661645062524488,Iris-versicolor
6.328382453174978,2.835242194173538,4.552968781702265,1.3417497533045726,Iris-versicolor
5.21667839734436,2.191736879848223,3.403071404917969,0.8020768124224562,Iris-versicolor
5.74762279812038,2.128421614403706,4.195002201302065,1.5286683100774912,Iris-versicolor
4.6284713962009,2.9750435665618156,1.0498701024002328,0.06135399545920098,Iris-setosa
6.054405433736962,2.85124405232914,4.695866133126016,1.9543757568490494,Iris-virginica
4.844078838522428,3.342569659239468,1.608589264035225,0.47285423571834134,Iris-setosa
5.275263789845014,3.2656093419950314,4.471016978608537,1.3887386961108397,Iris-versicolor
5.0336358304105255,3.2065634193617956,1.4154293626040155,-0.03714765244562382,Iris-setosa
5.999593953034591,2.4379920359920124,4.9434474568092135,2.077616697907196,Iris-virginica
4.934781264401795,3.6337428760378043,1.325614724767431,0.5426053851226369,Iris-setosa
6.446437631154349,3.207742323947678,5.2438408348601255,1.9990369512023847,Iris-virginica
6.450438590399489,2.6746542070928503,5.823917614465498,2.056762016133386,Iris-virginica
5.838659522033759,2.891577773105193,4.17081706979757,1.107243462537757,Iris-versicolor
6.701765555039853,3.025028044329898,5.424723800852516,2.1548197339724986,Iris-virginica
7.42858378240678,2.8487129972798595,5.724139020674231,1.3535319474940075,Iris-virginica
4.929517534035846,3.312646893156932,1.1084870806712528,0.23779528195393856,Iris-setosa
4.932113982046361,2.9044125705506016,1.1383590348095314,0.30204566968015817,Iris-setosa
4.868364779619735,1.957029873693315,3.648372834446947,1.2426031922759837,Iris-versicolor
5.533758793901713,2.4805158918911276,3.8555601802284976,0.7100650088572679,Iris-versicolor
7.074762338410677,3.126378443399748,6.420941907566616,2.039316905617704,Iris-virginica
5.261779281439493,2.261888202083099,3.6789177315731787,1.0678595040551988,Iris-versicolor
5.087839555656463,2.868346296022989,4.107139821758348,1.1394643314051216,Iris-versicolor
4.789585936328579,3.409770858407668,1.5471756920593136,0.3374565762914373,Iris-setosa
5.149394958731769,2.784019519623261,4.460271992874437,1.7524420096474869,Iris-versicolor
5.646891958829259,2.3628659490356507,3.70002384284519,0.839489111480574,Iris-versicolor
7.201056709328506,3.180863339140394,6.298465617905816,2.021402138032947,Iris-virginica
5.514770220585908,3.7012183321845042,1.7729535680460187,0.15787667160908203,Iris-setosa
4.888022396547491,2.4754467460803555,4.388682342858581,1.5732117431708925,Iris-virginica
,3.1705086894853323,5.048627623075836,1.6498020007228935,Iris-virginica
6.701549649761508,3.239453318659481,4.535930666354361,,Iris-versicolor
6.542532184539056,3.0480013955184937,5.066709548157838,1.3695430917240512,Iris-virginica
5.146031559760871,3.505026196506192,1.261060403895292,0.47492740691465474,Iris-setosa
6.347202926702745,2.8841767078570553,4.431765459949212,1.3580695499541966,Iris-versicolor
6.6424942961843465,2.875861345407989,4.974531453001974,1.629994897155067,Iris-versicolor
5.739856587200393,2.586798829486532,4.689177066761806,1.5728824103686676,Iris-versicolor
5.247741038411264,4.072131694702347,1.3051639991987782,0.03474104911093395,Iris-setosa
7.51759537894441,2.7880856463139754,6.299335329276085,2.100061833056524,Iris-virginica
4.458518436115838,2.207789015006458,1.4185666774435142,0.30874986000357746,Iris-setosa
6.304568331643976,2.5026999764560918,4.84970845924348,1.6662781618380156,Iris-virginica
5.876839532971041,2.7297376008759002,4.897320987598525,1.089662393459164,Iris-versicolor
6.40653052525024,2.9305406038459543,4.603656895470598,1.490659084854929,Iris-versicolor
5.091969321616321,3.5745815231676197,1.2729661150721507,0.5829906328095209,Iris-setosa
5.034625095076778,3.257119170409686,1.4446465680799665,0.26042450040657295,Iris-setosa
7.440503811056925,2.5944712007144495,7.034696194552165,2.5607181230220477,Iris-virginica
6.743146305400075,2.7519813965839806,5.318181657840084,2.102403624519476,Iris-virginica
5.692856104810178,3.127625294581655,3.906708180926802,1.3829479251942316,Iris-versicolor
5.173575615068945,4.07716108145994,1.2664458888583863,0.4151058362463836,Iris-setosa
6.026641097321986,2.998705028513326,4.511906163524803,1.7510072707106934,Iris-versicolor
5.4604991913970755,2.893171305062989,4.1546997308369225,1.2920120055403317,Iris-versicolor
4.930248576970403,2.3548368628989875,3.3516904030392656,0.992569819728363,Iris-versicolor
7.885876285108891,2.6408391597997496,7.121354919046198,2.2002164307273855,Iris-virginica
4.5160954428885605,2.792541435811194,1.2764047883517031,0.15456247677795368,Iris-setosa
4.8130630779591215,3.5489078457371326,1.5028282575531222,0.20450423509587864,Iris-setosa
6.798087771919959,3.4736423952412614,4.6091813632905,1.5763217083577068,Iris-versicolor
5.563255896889402,2.698379614378221,4.289276366405928,1.0368801486381782,Iris-versicolor
6.142224845003423,2.7273892966699838,4.6744929153938415,1.8107612255108336,Iris-virginica
5.376945928365863,2.5208460030907105,3.941065246944321,1.0064337178528624,Iris-versicolor
5.614905831033236,2.5320487827502802,3.841518582613446,1.1581359577072403,Iris-versicolor
5.271385016782472,3.9773681138016297,1.3018193436964145,0.4849160442903867,Iris-setosa
6.301808672008068,2.712725776983595,5.254432570069426,2.0719540413329383,Iris-virginica
6.92893625488523,2.9450653365134705,5.842882000859244,1.7057748930392587,Iris-virginica
6.2176693198423845,2.7344742570938183,4.8921779776388306,1.6592849928995124,Iris-virginica
4.716653404493835,3.048633780679477,1.3582443506777244,-0.04289569223910311,Iris-setosa
7.91634990383755,2.9166788740150187,6.22652831246183,2.439139613388162,Iris-virginica
5.54668750266974,2.47723487683641,3.924227666237886,1.3760359362739827,Iris-versicolor
6.623821358399215,2.949547962639827,5.313603794105106,1.850935587760799,Iris-virginica
7.871463694186931,2.874472362248532,6.225699393173348,2.3876000618687234,Iris-virginica
6.8646993287880145,3.150597504819764,5.468960519018101,2.4434519361742453,Iris-virginica
5.337034665752398,2.8654934358313957,4.202313068090634,1.4978528598678706,Iris-versicolor
5.9049065919203185,3.1674245583580514,4.469863894355942,1.388517589012686,Iris-versicolor
5.862457138938312,2.312663756684692,4.739182550896332,1.5397844376547831,Iris-virginica
4.601329176964535,2.8714303681066813,1.4662185147311826,0.17349045908834815,Iris-setosa
4.938126632815046,3.273350642612618,1.1009383396120156,0.09406807170748335,Iris-setosa
4.941228301181177,3.456561814008491,1.8389093585166227,0.20661076673470163,Iris-setosa
6.919786621840007,3.278861859100776,5.9842371738146865,1.7265296318675885,Iris-virginica
4.924306552000481,3.647208448309804,1.339340210681733,0.08358957496983946,Iris-setosa
4.768406672127429,1.7008598458726323,3.3291135504527114,0.818730385732538,Iris-versicolor
7.325018550059648,2.9021706376474534,6.601582262249833,1.8644298949929188,Iris-virginica
4.490567696678415,3.132469394041702,1.098874278575291,0.24211026590474322,Iris-setosa
5.018752122418037,3.328112088822578,1.3299776109654466,0.2900357406298682,Iris-setosa
6.829088306098697,2.590583629206269,4.547888627362837,1.288580082316769,Iris-versicolor
5.089772177456393,3.2990199961318973,1.6751848829267662,0.7743610259705338,Iris-setosa
4.89054750321474,3.025809364883747,1.4339391928014638,0.09812430867859381,Iris-setosa
6.353106796528699,2.4102392797305967,5.358066450977372,1.9450787912456495,Iris-virginica
5.543937759870889,2.7394228136106524,4.457887868448621,1.1257313790167172,Iris-versicolor
6.846863450694157,2.7574204472606363,5.848055843615748,1.6246290252529163,Iris-virginica
5.76180152639094,2.629630747927497,4.756444855294557,1.9398634826735823,Iris-virginica
5.664275575976082,2.4345981500448732,4.410110268523982,1.0173502533871492,Iris-versicolor
5.541289864930315,2.697944155942364,3.3429492741779456,1.3499680978515363,Iris-versicolor
6.270191033848006,2.619168347359081,4.439072084665596,0.9473381181326015,Iris-versicolor
5.658603887755423,2.508205072148417,4.338868951856413,1.1860454612811748,Iris-versicolor
7.183095886864351,3.3235718487597876,4.915033121804053,1.1211129650701497,Iris-versicolor
5.011771394851325,3.452492409648603,1.238614625584527,0.05666389008431941,Iris-setosa
5.044816735486897,3.587490069952335,1.666432922446355,0.0311706345089989,Iris-setosa
6.064058279777199,2.748965293483686,5.103025907729165,1.7023287378597072,Iris-versicolor
4.672611074892249,3.550620992375867,0.852970710051142,0.0023391083451554384,Iris-setosa
5.008295658176946,3.2984045588276327,1.337268291353324,0.18773161287909496,Iris-setosa
5.3158055139415605,2.943183227789702,4.478747784360384,1.5033666712127,Iris-versicolor
5.255473699734589,3.1227842161537884,1.4316477182884153,0.15100949269999492,Iris-setosa
6.5654516139638375,3.322072057405971,5.337168237219141,2.1606843344138458,Iris-virginica
5.983825413580281,2.4072760316416595,3.6369688776825275,0.9933454030018878,Iris-versicolor
5.550927964717866,2.5381722658227552,3.9632360153793034,1.1395648151362483,Iris-versicolor
5.389694920713367,3.7319237991011853,1.776025665590096,0.4410997704502139,Iris-setosa
6.561848730154492,3.1439557718299387,4.4832809084845335,1.4626889058335568,Iris-versicolor
6.1345990149971295,2.3408742133781812,5.447217076378311,1.2961446731762114,Iris-virginica
5.844491143404263,3.2638122147318533,5.0441906051157845,1.8797999859498131,Iris-virginica
7.000017800353762,2.902410835668026,4.6877077868753,1.3594831599499033,Iris-versicolor
6.2492375644185065,2.88775954207635,5.494192365169855,1.8018664841792358,Iris-virginica
6.433247847306239,2.501100061134763,5.045897557112917,1.519646935460277,Iris-virginica
4.5020021684897635,3.2235775113032803,1.1792397510853443,0.3488167490957411,Iris-setosa
7.311268116684082,2.7405002639899423,6.672251081086574,1.9210157478836316,Iris-virginica
5.61966797753345,3.073951788120664,4.99688009790886,1.8725223911484439,Iris-virginica
5.311676879426052,4.148638572383791,1.5953988571736082,0.5939926343699544,Iris-setosa
4.733208270502384,3.1005492360371782,1.4796364860600855,0.31332743598479834,Iris-setosa
5.152616816251069,3.3413934824718905,1.8065597915119125,0.63202273870185,Iris-setosa
5.945912355986491,3.274803684089809,4.538794712337449,1.6232230375270942,Iris-versicolor
4.80215582714352,3.4379796702497907,1.100341283271081,0.2849420358318926,Iris-setosa
5.6562725719712,2.461609838888795,4.942194772126425,1.8598209083053237,Iris-virginica
5.153224985546606,3.4689380195081103,1.496498765390745,0.8711614203933704,Iris-setosa
6.229429609299519,3.127789479647217,4.440430590504719,1.5880454179691164,Iris-versicolor
5.718047171401694,2.77791590214893,4.391177937453556,1.4482269408632074,Iris-versicolor
6.858855999651648,3.099062942647051,5.369633542460845,2.169726289099401,Iris-virginica
5.321354913900347,2.3072919491310975,3.4790590367408516,1.2639489415441205,Iris-versicolor
5.676405975953044,2.9462223920341,4.302433898591881,1.0410316940234978,Iris-versicolor
7.011469557580028,3.178476036658185,5.304302174570635,2.3446509256909858,Iris-virginica
5.200376522312695,3.0591927531561143,4.304453511033293,1.7190597225334094,Iris-versicolor
6.458867848827289,3.649700522337509,5.331630255265541,2.5551929282620374,Iris-virginica
5.135649388951124,3.5875250162036507,1.4875932219353438,0.49233675958628537,Iris-setosa
4.320103253458816,3.059983358789573,1.5597895019658592,0.416753429502872,Iris-setosa
5.288621263578183,3.8771514457493246,1.271933709617601,0.37924387950570887,Iris-setosa
6.619328034399205,2.6652947460085925,4.606004010050803,1.443474748205972,Iris-versicolor
5.905359176487794,2.8078478941192953,5.1960199882480795,1.9910790628944643,Iris-virginica
6.260963479689505,2.9271579452886103,5.258027669457649,2.102224289270994,Iris-virginica
5.159794757981013,3.1683210716485743,1.1976285555404844,-0.039917949644117795,Iris-setosa
6.446090184947587,3.0539000526729225,5.198548262844604,2.279629018713025,Iris-virginica
6.747117602222173,3.468020510005585,5.938815354218367,2.4361286404894535,Iris-virginica
6.327082692980928,2.761958397768471,5.786167209259016,2.1710985349591683,Iris-virginica
6.152771401785574,2.412283869210619,4.954157260743297,1.9907475303533821,Iris-virginica
4.979625549271459,3.9214378443133495,1.7852507258663353,0.4747198744171452,Iris-setosa
5.770019431785311,2.1623205337958273,3.793973920775815,1.5268728475888833,Iris-versicolor
6.391595935354672,3.3797874098782397,4.8641683204274315,2.2028158279712153,Iris-virginica
6.221575239994848,3.4381697761265047,5.244147844633001,2.1082917436751827,Iris-virginica
5.319004339176653,3.6793412471580558,1.5462553599276496,0.2852385763494542,Iris-setosa
4.927121978112248,2.9648805523491264,1.5051817173812543,-0.13518194034708755,Iris-setosa
6.243825905120733,3.237331443293578,5.12175622223774,1.9279353105376742,Iris-virginica
5.831697091216047,3.998752703121383,1.5667611914035706,0.0960326666424953,Iris-setosa
5.530503886124876,3.708196125040622,1.1357012570179497,0.2791101637820143,Iris-setosa
5.016730516209568,3.1951207834970647,1.8772371336968101,0.2872696251751381,Iris-setosa
5.0001682026802605,1.8730900456678663,3.395485521768588,1.0099394884771051,Iris-versicolor
5.824465571220032,2.604809872919679,4.752022728135041,1.77552284144272,Iris-virginica
7.664612757260219,2.5977497424898393,6.742339748934282,2.0824133954999606,Iris-virginica
6.138533361535867,2.4269238907078967,4.138897509416284,1.4469295469165648,Iris-versicolor
6.613046563312459,2.9114862394980787,5.862487339062746,2.4991410602471515,Iris-virginica
6.7801517896077215,3.1809558716444406,5.802176588581251,2.2087478844614497,Iris-virginica
7.0371314019701305,2.985976080940151,5.974166358318223,2.408087702187676,Iris-virginica
5.435192549909714,2.7072354003471704,3.623888632353162,1.20095122355447,Iris-versicolor
5.8204072718153395,2.9937547676289067,4.040250969388807,1.1849846382476676,Iris-versicolor
6.4157832512124475,3.17794226743064,4.122796859297158,,Iris-versicolor
4.496732142231737,3.058345135906925,1.061537032886342,0.14009296752311665,Iris-setosa
7.629816506155415,2.3460000182766536,6.91459058784154,2.233682361736895,Iris-virginica
5.283074723036745,3.631079937664674,1.6051902363964106,0.31045625756392964,Iris-setosa
5.982389068125667,2.7539948235509715,3.790452983098757,1.1228611848517418,Iris-versicolor
4.722544031153058,2.37542284709398,4.221577165586692,1.4491937061524744,Iris-virginica
6.173799950546193,2.9947582340080667,5.440177742120482,2.0456784279550635,Iris-virginica
4.711769543272174,3.4980559183793405,1.3626895180068315,0.028667710622251513,Iris-setosa
5.541770535207291,4.229448169592225,1.4715437491536447,0.357249151865107,Iris-setosa
4.800089792855665,3.174535622071799,1.584710752563717,0.3825564862980049,Iris-setosa
5.334213622378275,3.544920520973924,1.8646560348751944,0.26970541193180897,Iris-setosa
7.191182427821198,3.382498681119032,5.242193185740923,2.4637301673071006,Iris-virginica
6.6286709923444365,2.705578773476811,5.586214992837561,2.0640576480236996,Iris-virginica
5.3756144532424175,2.6438249956100788,4.7649344487502505,2.169075499744359,Iris-virginica
4.829757473442184,3.8700167768454117,1.5228874474533576,0.2770162803719614,Iris-setosa
5.856687539181925,2.563616230958132,4.9307869078664215,2.055912214474916,Iris-virginica
5.517972539371443,2.732819631070318,3.972250680600302,1.393508599336067,Iris-versicolor
